Client,Date,Courtier,Prix Courtier,Comission Courtier,Limite D&O,Limite E&O ,Prix Police D'Assurance
3,1/1/2010,Courtier A,4000,0.1,500000,100000,44000
7,1/1/2010,Courtier A,4000,0.1,500000,100000,44000
12,1/1/2010,Courtier A,8000,0.1,1500000,500000,88000
16,1/1/2010,Courtier A,8000,0.1,1500000,500000,88000
18,1/1/2010,Courtier A,4000,0.1,500000,100000,44000
19,1/1/2010,Courtier A,4000,0.1,500000,100000,44000
24,1/1/2010,Courtier A,4000,0.1,500000,100000,44000
25,1/1/2010,Courtier A,5500,0.1,1000000,250000,60500
28,1/1/2010,Courtier A,4000,0.1,500000,100000,44000
49,1/1/2010,Courtier A,4000,0.1,500000,100000,44000
50,1/1/2010,Courtier A,5500,0.1,1000000,250000,60500
66,1/1/2010,Courtier A,4000,0.1,500000,100000,44000
68,1/1/2010,Courtier A,8000,0.1,1500000,500000,88000
69,1/1/2010,Courtier A,4000,0.1,500000,100000,44000
77,1/1/2010,Courtier A,4000,0.1,500000,100000,44000
81,1/1/2010,Courtier A,4000,0.1,500000,100000,44000
95,1/1/2010,Courtier A,4000,0.1,500000,100000,44000
98,1/1/2010,Courtier A,4000,0.1,500000,100000,44000
113,1/1/2010,Courtier A,5500,0.1,1000000,250000,60500
125,1/1/2010,Courtier A,5500,0.1,1000000,250000,60500
130,1/1/2010,Courtier A,5500,0.1,1000000,250000,60500
137,1/1/2010,Courtier A,8000,0.1,1500000,500000,88000
156,1/1/2010,Courtier A,4000,0.1,500000,100000,44000
167,1/1/2010,Courtier A,5500,0.1,1000000,250000,60500
169,1/1/2010,Courtier A,4000,0.1,500000,100000,44000
172,1/1/2010,Courtier A,4000,0.1,500000,100000,44000
188,1/1/2010,Courtier A,8000,0.1,1500000,500000,88000
191,1/1/2010,Courtier A,5500,0.1,1000000,250000,60500
198,1/1/2010,Courtier A,5500,0.1,1000000,250000,60500
218,1/1/2010,Courtier A,8000,0.1,1500000,500000,88000
234,1/1/2010,Courtier A,5500,0.1,1000000,250000,60500
244,1/1/2010,Courtier A,4000,0.1,500000,100000,44000
280,1/1/2010,Courtier A,4000,0.1,500000,100000,44000
290,1/1/2010,Courtier A,4000,0.1,500000,100000,44000
292,1/1/2010,Courtier A,8000,0.1,1500000,500000,88000
295,1/1/2010,Courtier A,4000,0.1,500000,100000,44000
309,1/1/2010,Courtier A,4000,0.1,500000,100000,44000
312,1/1/2010,Courtier A,8000,0.1,1500000,500000,88000
340,1/1/2010,Courtier A,5500,0.1,1000000,250000,60500
360,1/1/2010,Courtier A,4000,0.1,500000,100000,44000
383,1/1/2010,Courtier A,8000,0.1,1500000,500000,88000
395,1/1/2010,Courtier A,4000,0.1,500000,100000,44000
396,1/1/2010,Courtier A,8000,0.1,1500000,500000,88000
399,1/1/2010,Courtier A,8000,0.1,1500000,500000,88000
413,1/1/2010,Courtier A,8000,0.1,1500000,500000,88000
420,1/1/2010,Courtier A,8000,0.1,1500000,500000,88000
422,1/1/2010,Courtier A,8000,0.1,1500000,500000,88000
429,1/1/2010,Courtier A,4000,0.1,500000,100000,44000
448,1/1/2010,Courtier A,8000,0.1,1500000,500000,88000
